name,n_cells,n_built_cells,mean_y,lambda_p_median,svf_median,far_median,H_mean_median,sigma_h_median,porosity_median,sun_winter_median_h,kwh_m2_median,n_solar_points
Praia de Ramos,399,392,7472995.350232307,0.9347947838694364,0.10435729514599816,1.810649454817102,7.318418803418804,2.036288091855428,0.057652996547069624,0.16666667,535.2230775185824,10095
Parque Roquete Pinto,851,850,7472871.982235347,0.9851200630454019,0.10996913742805708,2.0804689574478337,7.777777777777779,2.0317104472402336,0.017699198799250304,0.0,287.536949338569,18706
Parque União,1958,1925,7471935.697218261,0.8922228294916621,0.25542454329275355,2.393955993832811,10.0476,1.9774683785196117,0.12637309124903962,0.5,552.9168950380761,63067
Parque Rubens Vaz,747,687,7471751.572212962,0.8982359787129317,0.27840712771331494,1.9880623268995086,8.238,2.151832968414369,0.07464940644228779,1.6666666,703.3342035323545,27214
Nova Holanda,1502,1480,7471486.177299977,0.8596224450274274,0.20865274520564234,1.9362694117284374,8.928333333333335,1.9665525738895848,0.14786166857936234,1.1666666,525.2682875156916,46458
Parque Maré,1406,1381,7471279.306745212,0.9999958086508595,0.17319328078842805,2.128600956229283,8.274545454545454,2.0016020926997453,0.01169596161534181,0.33333334,666.6642688533899,32173
Nova Maré,475,453,7470948.577299977,0.8800683535752676,0.5942834046139669,1.3523718792256831,5.945714285714286,2.211952938574674,0.10341829146608039,3.1666667,781.590584184747,18962
Baixa do Sapateiro,1242,1205,7470849.760230732,0.9136937366356104,0.21510033845848958,1.8128791087307443,7.69,2.0845383181894253,0.09461605075829593,2.3333333,820.7413598282409,37109
Morro do Timbau,1249,1228,7470540.500758743,0.8545542486248704,0.2673194043552696,1.522271788684705,6.788571428571428,1.9924949497946165,0.16635439950389602,1.6666666,756.9170557775487,42789
between communities,13467,6662,7470345.29217337,0.0,0.8301495825583158,0.9918889606303012,5.854365079365079,1.6113328459740126,0.300822627823866,6.6666665,1433.6891981609506,972328
Vila do Pinheiro,3694,2968,7470217.038155418,0.6556355770459824,0.4188907322934893,1.394679119995637,6.6530000000000005,2.007645790933675,0.1728817309417931,3.5,771.9110233873853,173438
Bento Ribeiro Dantas,506,481,7470149.932240688,0.7990193331852877,0.43104085236308987,1.0789693655597044,5.634285714285714,1.8817515233053232,0.20231464810010746,5.3333335,1276.094424423615,21085
Conjunto Pinheiros,601,565,7469969.604920608,0.4998135410770162,0.7057618334334376,0.884187372848811,8.285,5.035304249882909,0.4874630653831806,4.5,1135.9805225410014,32598
Salsa e Merengue / Novo Pinheiro,1218,1173,7469630.660058596,0.8885636230446077,0.3923659013771379,1.1787531006976288,5.4037500000000005,1.6114664129295406,0.11328105929990029,3.5,1080.2973889322163,44888
Vila do João,3485,2746,7469483.284903994,0.5555753234091898,0.4721688889847948,1.4150429996762006,7.0460714285714285,2.1808326876818525,0.1993386636472833,7.6666665,1543.1820758401332,182404
Conjunto Esperança,688,624,7469158.357532535,0.4253774954379822,0.6270995181940934,0.8329985940043118,7.53,3.7852766858302624,0.5499047573319216,5.5,1262.8889495425126,40349
